from_task_id,to_task_id,can_follow,deadhead_time_slot,deadhead_distance_km,deadhead_energy_kwh
T_Weekday.0543,T_Weekday.0609,True,0,0.0,0.0
T_Weekday.0543,T_Weekday.0620,True,0,0.0,0.0
T_Weekday.0543,T_Weekday.0629,True,0,0.0,0.0
T_Weekday.0543,T_Weekday.0638,True,0,0.0,0.0
T_Weekday.0543,T_Weekday.0647,True,0,0.0,0.0
T_Weekday.0543,T_Weekday.0653,True,0,0.0,0.0
T_Weekday.0543,T_Weekday.0657,True,0,0.0,0.0
T_Weekday.0543,T_Weekday.0701,True,0,0.0,0.0
T_Weekday.0543,T_Weekday.0705,True,0,0.0,0.0
T_Weekday.0543,T_Weekday.0709,True,0,0.0,0.0
T_Weekday.0543,T_Weekday.0713,True,0,0.0,0.0
T_Weekday.0543,T_Weekday.0717,True,0,0.0,0.0
T_Weekday.0543,T_Weekday.0721,True,0,0.0,0.0
T_Weekday.0543,T_Weekday.0724,True,0,0.0,0.0
T_Weekday.0543,T_Weekday.0727,True,0,0.0,0.0
T_Weekday.0543,T_Weekday.0730,True,0,0.0,0.0
T_Weekday.0543,T_Weekday.0733,True,0,0.0,0.0
T_Weekday.0543,T_Weekday.0736,True,0,0.0,0.0
T_Weekday.0543,T_Weekday.0739,True,0,0.0,0.0
T_Weekday.0543,T_Weekday.0742,True,0,0.0,0.0
T_Weekday.0543,T_Weekday.0745,True,0,0.0,0.0
T_Weekday.0543,T_Weekday.0748,True,0,0.0,0.0
T_Weekday.0543,T_Weekday.0751,True,0,0.0,0.0
T_Weekday.0543,T_Weekday.0754,True,0,0.0,0.0
T_Weekday.0543,T_Weekday.0757,True,0,0.0,0.0
T_Weekday.0543,T_Weekday.0800,True,0,0.0,0.0
T_Weekday.0543,T_Weekday.0803,True,0,0.0,0.0
T_Weekday.0543,T_Weekday.0806,True,0,0.0,0.0
T_Weekday.0543,T_Weekday.0809,True,0,0.0,0.0
T_Weekday.0543,T_Weekday.0812,True,0,0.0,0.0
T_Weekday.0543,T_Weekday.0815,True,0,0.0,0.0
T_Weekday.0543,T_Weekday.0818,True,0,0.0,0.0
T_Weekday.0543,T_Weekday.0821,True,0,0.0,0.0
T_Weekday.0543,T_Weekday.0824,True,0,0.0,0.0
T_Weekday.0543,T_Weekday.0827,True,0,0.0,0.0
T_Weekday.0543,T_Weekday.0830,True,0,0.0,0.0
