vehicle_id,charger_id,time_idx,z_charge,p_charge_kw,soc_kwh
BEV_01,CHG_01,0,0,0.0,270.0
BEV_01,CHG_01,1,0,0.0,270.0
BEV_01,CHG_01,2,0,0.0,270.0
BEV_01,CHG_01,3,0,0.0,269.0447
BEV_01,CHG_01,4,0,0.0,268.0893
BEV_01,CHG_01,5,0,0.0,267.134
BEV_01,CHG_01,6,0,0.0,265.701
BEV_01,CHG_01,7,0,0.0,264.268
BEV_01,CHG_01,8,0,0.0,262.4807
BEV_01,CHG_01,9,0,0.0,260.6933
BEV_01,CHG_01,10,0,0.0,258.906
BEV_01,CHG_01,11,0,0.0,257.1187
BEV_01,CHG_01,12,0,0.0,255.3313
BEV_01,CHG_01,13,0,0.0,253.544
BEV_01,CHG_01,14,0,0.0,251.7567
BEV_01,CHG_01,15,0,0.0,249.9693
BEV_01,CHG_01,16,0,0.0,248.182
BEV_01,CHG_01,17,0,0.0,246.3947
BEV_01,CHG_01,18,0,0.0,244.6073
BEV_01,CHG_01,19,0,0.0,242.82
BEV_01,CHG_01,20,0,0.0,241.4795
BEV_01,CHG_01,21,0,0.0,240.139
BEV_01,CHG_01,22,0,0.0,238.7985
BEV_01,CHG_01,23,0,0.0,237.458
BEV_01,CHG_01,24,0,0.0,236.1175
BEV_01,CHG_01,25,0,0.0,234.777
BEV_01,CHG_01,26,0,0.0,233.4365
BEV_01,CHG_01,27,0,0.0,232.096
BEV_01,CHG_01,28,0,0.0,230.7555
BEV_01,CHG_01,29,0,0.0,229.415
BEV_01,CHG_01,30,0,0.0,228.0745
BEV_01,CHG_01,31,0,0.0,226.734
BEV_01,CHG_01,32,0,0.0,225.3935
BEV_01,CHG_01,33,0,0.0,224.053
BEV_01,CHG_01,34,0,0.0,222.7125
BEV_01,CHG_01,35,0,0.0,221.372
BEV_01,CHG_01,36,0,0.0,220.0315
BEV_01,CHG_01,37,0,0.0,218.691
BEV_01,CHG_01,38,0,0.0,217.3505
BEV_01,CHG_01,39,0,0.0,216.01
BEV_01,CHG_01,40,0,0.0,214.6695
BEV_01,CHG_01,41,0,0.0,213.329
BEV_01,CHG_01,42,0,0.0,211.9885
BEV_01,CHG_01,43,0,0.0,210.648
BEV_01,CHG_01,44,0,0.0,209.3075
BEV_01,CHG_01,45,0,0.0,207.967
BEV_01,CHG_01,46,0,0.0,206.6265
BEV_01,CHG_01,47,0,0.0,205.286
BEV_01,CHG_01,48,0,0.0,203.9455
BEV_01,CHG_01,49,0,0.0,202.605
BEV_01,CHG_01,50,0,0.0,201.2645
BEV_01,CHG_01,51,0,0.0,199.924
BEV_01,CHG_01,52,0,0.0,198.1367
BEV_01,CHG_01,53,0,0.0,196.3493
BEV_01,CHG_01,54,0,0.0,194.562
BEV_01,CHG_01,55,0,0.0,193.2215
BEV_01,CHG_01,56,0,0.0,191.881
BEV_01,CHG_01,57,0,0.0,190.5405
BEV_01,CHG_01,58,0,0.0,189.2
BEV_01,CHG_01,59,0,0.0,187.4127
BEV_01,CHG_01,60,0,0.0,185.6253
BEV_01,CHG_01,61,0,0.0,183.838
BEV_01,CHG_01,62,0,0.0,182.0507
BEV_01,CHG_01,63,0,0.0,180.2633
BEV_01,CHG_01,64,0,0.0,178.476
BEV_01,CHG_01,65,0,0.0,176.6887
BEV_01,CHG_01,66,0,0.0,174.9013
BEV_01,CHG_01,67,0,0.0,173.114
BEV_01,CHG_01,68,0,0.0,171.3267
BEV_01,CHG_01,69,0,0.0,169.5393
