site_id,time_idx,grid_energy_price,sell_back_price,base_load_kw
depot_A,0,15.0,0.0,5.0
depot_A,1,15.0,0.0,5.0
depot_A,2,15.0,0.0,5.0
depot_A,3,15.0,0.0,5.0
depot_A,4,15.0,0.0,5.0
depot_A,5,15.0,0.0,5.0
depot_A,6,15.0,0.0,5.0
depot_A,7,15.0,0.0,5.0
depot_A,8,20.0,0.0,8.0
depot_A,9,20.0,0.0,8.0
depot_A,10,20.0,0.0,8.0
depot_A,11,20.0,0.0,8.0
depot_A,12,25.0,0.0,10.0
depot_A,13,25.0,0.0,10.0
depot_A,14,25.0,0.0,10.0
depot_A,15,25.0,0.0,10.0
depot_A,16,25.0,0.0,10.0
depot_A,17,25.0,0.0,10.0
depot_A,18,25.0,0.0,10.0
depot_A,19,25.0,0.0,10.0
depot_A,20,20.0,0.0,8.0
depot_A,21,20.0,0.0,8.0
depot_A,22,20.0,0.0,8.0
depot_A,23,20.0,0.0,8.0
depot_A,24,20.0,0.0,8.0
depot_A,25,20.0,0.0,8.0
depot_A,26,20.0,0.0,8.0
depot_A,27,20.0,0.0,8.0
depot_A,28,20.0,0.0,8.0
depot_A,29,20.0,0.0,8.0
depot_A,30,20.0,0.0,8.0
depot_A,31,20.0,0.0,8.0
depot_A,32,20.0,0.0,8.0
depot_A,33,20.0,0.0,8.0
depot_A,34,20.0,0.0,8.0
depot_A,35,20.0,0.0,8.0
depot_A,36,15.0,0.0,5.0
depot_A,37,15.0,0.0,5.0
depot_A,38,15.0,0.0,5.0
depot_A,39,15.0,0.0,5.0
depot_A,40,15.0,0.0,5.0
depot_A,41,15.0,0.0,5.0
depot_A,42,15.0,0.0,5.0
depot_A,43,15.0,0.0,5.0
depot_A,44,15.0,0.0,5.0
depot_A,45,15.0,0.0,5.0
depot_A,46,15.0,0.0,5.0
depot_A,47,15.0,0.0,5.0
depot_A,48,15.0,0.0,5.0
depot_A,49,15.0,0.0,5.0
depot_A,50,15.0,0.0,5.0
depot_A,51,15.0,0.0,5.0
depot_A,52,15.0,0.0,5.0
depot_A,53,15.0,0.0,5.0
depot_A,54,15.0,0.0,5.0
depot_A,55,15.0,0.0,5.0
depot_A,56,15.0,0.0,5.0
depot_A,57,15.0,0.0,5.0
depot_A,58,15.0,0.0,5.0
depot_A,59,15.0,0.0,5.0
depot_A,60,15.0,0.0,5.0
depot_A,61,15.0,0.0,5.0
depot_A,62,15.0,0.0,5.0
depot_A,63,15.0,0.0,5.0
