site_id,time_idx,grid_import_kw,pv_used_kw,peak_demand_kw
depot_A,0,5.0,0.0,0.0
depot_A,1,5.0,0.0,0.0
depot_A,2,5.0,0.0,0.0
depot_A,3,5.0,0.0,0.0
depot_A,4,5.0,0.0,0.0
depot_A,5,45.5263,0.0,0.0
depot_A,6,65.0,0.0,0.0
depot_A,7,35.0,0.0,0.0
depot_A,8,10.0,0.0,0.0
depot_A,9,10.0,0.0,0.0
depot_A,10,10.0,0.0,0.0
depot_A,11,10.0,0.0,0.0
depot_A,12,10.0,0.0,0.0
depot_A,13,10.0,0.0,0.0
depot_A,14,10.0,0.0,0.0
depot_A,15,10.0,0.0,0.0
depot_A,16,10.0,0.0,0.0
depot_A,17,10.0,0.0,0.0
depot_A,18,10.0,0.0,0.0
depot_A,19,10.0,0.0,0.0
depot_A,20,10.0,0.0,0.0
depot_A,21,10.0,0.0,0.0
depot_A,22,10.0,0.0,0.0
depot_A,23,10.0,0.0,0.0
depot_A,24,10.0,0.0,0.0
depot_A,25,10.0,0.0,0.0
depot_A,26,10.0,0.0,0.0
depot_A,27,10.0,0.0,0.0
depot_A,28,10.0,0.0,0.0
depot_A,29,10.0,0.0,0.0
depot_A,30,10.0,0.0,0.0
depot_A,31,10.0,0.0,0.0
depot_A,32,10.0,0.0,0.0
depot_A,33,10.0,0.0,0.0
depot_A,34,10.0,0.0,0.0
depot_A,35,10.0,0.0,0.0
depot_A,36,10.0,0.0,0.0
depot_A,37,10.0,0.0,0.0
depot_A,38,10.0,0.0,0.0
depot_A,39,10.0,0.0,0.0
depot_A,40,10.0,0.0,0.0
depot_A,41,10.0,0.0,0.0
depot_A,42,10.0,0.0,0.0
depot_A,43,10.0,0.0,0.0
depot_A,44,10.0,0.0,0.0
depot_A,45,10.0,0.0,0.0
depot_A,46,10.0,0.0,0.0
depot_A,47,10.0,0.0,0.0
depot_A,48,8.0,0.0,0.0
depot_A,49,8.0,0.0,0.0
depot_A,50,8.0,0.0,0.0
depot_A,51,8.0,0.0,0.0
depot_A,52,8.0,0.0,0.0
depot_A,53,8.0,0.0,0.0
depot_A,54,8.0,0.0,0.0
depot_A,55,8.0,0.0,0.0
depot_A,56,8.0,0.0,0.0
depot_A,57,8.0,0.0,0.0
depot_A,58,8.0,0.0,0.0
depot_A,59,8.0,0.0,0.0
depot_A,60,8.0,0.0,0.0
depot_A,61,8.0,0.0,0.0
depot_A,62,8.0,0.0,0.0
depot_A,63,8.0,0.0,0.0
