vehicle_id,charger_id,time_idx,z_charge,p_charge_kw,soc_kwh
V1,C1,0,0,0.0,80.0
V1,C1,1,0,0.0,75.0
V1,C1,2,0,0.0,70.0
V1,C1,3,0,0.0,65.0
V1,C1,4,1,0.0,60.0
V1,C1,5,1,0.0,60.0
V1,C1,6,1,0.0,60.0
V1,C1,7,1,20.0,60.0
V1,C1,8,0,0.0,80.0
V1,C1,9,0,0.0,75.0
V1,C1,10,0,0.0,70.0
V1,C1,11,0,0.0,65.0
V1,C1,12,1,0.0,60.0
V1,C1,13,1,0.0,60.0
V1,C1,14,1,0.0,60.0
V1,C1,15,1,0.0,60.0
V1,C1,16,0,0.0,60.0
V1,C1,17,0,0.0,57.5
V1,C1,18,0,0.0,55.0
V1,C1,19,0,0.0,52.5
V2,C1,0,1,0.0,80.0
V2,C1,1,1,0.0,80.0
V2,C1,2,1,0.0,80.0
V2,C1,3,1,10.0,80.0
V2,C1,4,0,0.0,90.0
V2,C1,5,0,0.0,85.0
V2,C1,6,0,0.0,80.0
V2,C1,7,0,0.0,75.0
V2,C1,8,1,0.0,70.0
V2,C1,9,1,0.0,70.0
V2,C1,10,1,0.0,70.0
V2,C1,11,1,0.0,70.0
V2,C1,12,0,0.0,70.0
V2,C1,13,0,0.0,65.0
V2,C1,14,0,0.0,60.0
V2,C1,15,0,0.0,55.0
V2,C1,16,1,0.0,50.0
V2,C1,17,1,0.0,50.0
V2,C1,18,1,0.0,50.0
V2,C1,19,1,0.0,50.0
