vehicle_id,vehicle_type,task_id,start_time_idx,end_time_idx,origin,destination,distance_km,energy_kwh_bev
B1,BEV,(unassigned),,,,,,
B2,BEV,T03,4,11,depot_A,terminal_B,32.0,32.0
B2,BEV,T04,24,31,terminal_B,depot_A,30.0,30.0
B2,BEV,T07,12,19,depot_A,terminal_C,25.0,25.0
B2,BEV,T08,32,39,terminal_C,depot_A,25.0,25.0
B3,BEV,(unassigned),,,,,,
I1,ICE,T01,0,7,depot_A,terminal_B,30.0,30.0
I1,ICE,T02,20,27,terminal_B,depot_A,28.0,28.0
I1,ICE,T05,8,15,depot_A,terminal_B,30.0,30.0
I1,ICE,T06,28,35,terminal_B,depot_A,28.0,28.0
