site_id,time_idx,grid_import_kw,pv_used_kw,peak_demand_kw
depot_A,0,13.9474,0.0,0.0
depot_A,1,35.0,0.0,0.0
depot_A,2,5.0,0.0,0.0
depot_A,3,5.0,0.0,0.0
depot_A,4,5.0,0.0,0.0
depot_A,5,5.0,0.0,0.0
depot_A,6,5.0,0.0,0.0
depot_A,7,5.0,0.0,0.0
depot_A,8,8.0,0.0,0.0
depot_A,9,8.0,0.0,0.0
depot_A,10,8.0,0.0,0.0
depot_A,11,8.0,0.0,0.0
depot_A,12,10.0,0.0,0.0
depot_A,13,10.0,0.0,0.0
depot_A,14,10.0,0.0,0.0
depot_A,15,10.0,0.0,0.0
depot_A,16,10.0,0.0,0.0
depot_A,17,10.0,0.0,0.0
depot_A,18,10.0,0.0,0.0
depot_A,19,10.0,0.0,0.0
depot_A,20,8.0,0.0,0.0
depot_A,21,8.0,0.0,0.0
depot_A,22,8.0,0.0,0.0
depot_A,23,8.0,0.0,0.0
depot_A,24,8.0,0.0,0.0
depot_A,25,8.0,0.0,0.0
depot_A,26,8.0,0.0,0.0
depot_A,27,8.0,0.0,0.0
depot_A,28,8.0,0.0,0.0
depot_A,29,8.0,0.0,0.0
depot_A,30,8.0,0.0,0.0
depot_A,31,8.0,0.0,0.0
depot_A,32,8.0,0.0,0.0
depot_A,33,8.0,0.0,0.0
depot_A,34,8.0,0.0,0.0
depot_A,35,8.0,0.0,0.0
depot_A,36,5.0,0.0,0.0
depot_A,37,5.0,0.0,0.0
depot_A,38,5.0,0.0,0.0
depot_A,39,5.0,0.0,0.0
depot_A,40,5.0,0.0,0.0
depot_A,41,5.0,0.0,0.0
depot_A,42,5.0,0.0,0.0
depot_A,43,5.0,0.0,0.0
depot_A,44,5.0,0.0,0.0
depot_A,45,5.0,0.0,0.0
depot_A,46,5.0,0.0,0.0
depot_A,47,5.0,0.0,0.0
depot_A,48,5.0,0.0,0.0
depot_A,49,5.0,0.0,0.0
depot_A,50,5.0,0.0,0.0
depot_A,51,5.0,0.0,0.0
depot_A,52,5.0,0.0,0.0
depot_A,53,5.0,0.0,0.0
depot_A,54,5.0,0.0,0.0
depot_A,55,5.0,0.0,0.0
depot_A,56,5.0,0.0,0.0
depot_A,57,5.0,0.0,0.0
depot_A,58,35.0,0.0,0.0
depot_A,59,35.0,0.0,0.0
depot_A,60,35.0,0.0,0.0
depot_A,61,35.0,0.0,0.0
depot_A,62,35.0,0.0,0.0
depot_A,63,35.0,0.0,0.0
