battery_capacity_kwh,charging_efficiency,event_id,event_type,reserve_soc_kwh,reserve_soc_percent,soc_after_kwh,soc_after_percent,soc_before_kwh,soc_before_percent,source_artifact,time_min,vehicle_id
314.0,0.95,0549a411-fd2a-4339-b4a3-45a3b7d37898:initial_state,initial_state,62.800000000000004,20.0,119.674506,38.1129,119.674506,38.1129,scenario_fleet_contract,0,0549a411-fd2a-4339-b4a3-45a3b7d37898
314.0,0.95,0549a411-fd2a-4339-b4a3-45a3b7d37898:charging:0:0,charging,62.800000000000004,20.0,133.924506,42.65111656050956,119.674506,38.1129,executed_charging_schedule,15,0549a411-fd2a-4339-b4a3-45a3b7d37898
314.0,0.95,0549a411-fd2a-4339-b4a3-45a3b7d37898:charging:1:4,charging,62.800000000000004,20.0,137.288410616,43.72242376305733,133.924506,42.65111656050956,executed_charging_schedule,30,0549a411-fd2a-4339-b4a3-45a3b7d37898
314.0,0.95,0549a411-fd2a-4339-b4a3-45a3b7d37898:startup,startup_deadhead,62.800000000000004,20.0,135.709210616,43.219493826751595,137.288410616,43.72242376305733,canonical_solver_result,388,0549a411-fd2a-4339-b4a3-45a3b7d37898
314.0,0.95,0549a411-fd2a-4339-b4a3-45a3b7d37898:service:0,service_trip,62.800000000000004,20.0,128.46036940800002,40.910945671337586,135.709210616,43.219493826751595,canonical_solver_result,415,0549a411-fd2a-4339-b4a3-45a3b7d37898
314.0,0.95,0549a411-fd2a-4339-b4a3-45a3b7d37898:service:1,service_trip,62.800000000000004,20.0,124.01730600000002,39.495957324840774,128.46036940800002,40.910945671337586,canonical_solver_result,1364,0549a411-fd2a-4339-b4a3-45a3b7d37898
314.0,0.95,0549a411-fd2a-4339-b4a3-45a3b7d37898:terminal_return,terminal_return,62.800000000000004,20.0,119.67450600000002,38.1129,124.01730600000002,39.495957324840774,canonical_solver_result,1375,0549a411-fd2a-4339-b4a3-45a3b7d37898
314.0,0.95,0c9b7317-11ce-4340-ad98-a702eaacaaa4:initial_state,initial_state,62.800000000000004,20.0,235.73707,75.07549999999999,235.73707,75.07549999999999,scenario_fleet_contract,0,0c9b7317-11ce-4340-ad98-a702eaacaaa4
314.0,0.95,0c9b7317-11ce-4340-ad98-a702eaacaaa4:charging:5:25,charging,62.800000000000004,20.0,242.262453858,77.1536477254777,235.73707,75.07549999999999,executed_charging_schedule,90,0c9b7317-11ce-4340-ad98-a702eaacaaa4
314.0,0.95,0c9b7317-11ce-4340-ad98-a702eaacaaa4:charging:21:49,charging,62.800000000000004,20.0,244.684953858,77.92514454076434,242.262453858,77.1536477254777,executed_charging_schedule,330,0c9b7317-11ce-4340-ad98-a702eaacaaa4
314.0,0.95,0c9b7317-11ce-4340-ad98-a702eaacaaa4:charging:23:54,charging,62.800000000000004,20.0,251.19999999999982,79.99999999999994,244.684953858,77.92514454076434,executed_charging_schedule,360,0c9b7317-11ce-4340-ad98-a702eaacaaa4
314.0,0.95,0c9b7317-11ce-4340-ad98-a702eaacaaa4:charging:24:58,charging,62.800000000000004,20.0,251.20002374999981,80.00000756369421,251.19999999999982,79.99999999999994,executed_charging_schedule,375,0c9b7317-11ce-4340-ad98-a702eaacaaa4
314.0,0.95,0c9b7317-11ce-4340-ad98-a702eaacaaa4:charging:25:63,charging,62.800000000000004,20.0,251.2000474999998,80.00001512738848,251.20002374999981,80.00000756369421,executed_charging_schedule,390,0c9b7317-11ce-4340-ad98-a702eaacaaa4
314.0,0.95,0c9b7317-11ce-4340-ad98-a702eaacaaa4:charging:26:67,charging,62.800000000000004,20.0,253.9056723159998,80.86167908152859,251.2000474999998,80.00001512738848,executed_charging_schedule,405,0c9b7317-11ce-4340-ad98-a702eaacaaa4
314.0,0.95,0c9b7317-11ce-4340-ad98-a702eaacaaa4:startup,startup_deadhead,62.800000000000004,20.0,252.3264723159998,80.35874914522287,253.9056723159998,80.86167908152859,canonical_solver_result,413,0c9b7317-11ce-4340-ad98-a702eaacaaa4
314.0,0.95,0c9b7317-11ce-4340-ad98-a702eaacaaa4:service:0,service_trip,62.800000000000004,20.0,244.82130852399982,77.96856959363052,252.3264723159998,80.35874914522287,canonical_solver_result,442,0c9b7317-11ce-4340-ad98-a702eaacaaa4
314.0,0.95,0c9b7317-11ce-4340-ad98-a702eaacaaa4:service:1,service_trip,62.800000000000004,20.0,237.31617499999982,75.57839968152861,244.82130852399982,77.96856959363052,canonical_solver_result,1362,0c9b7317-11ce-4340-ad98-a702eaacaaa4
314.0,0.95,0c9b7317-11ce-4340-ad98-a702eaacaaa4:terminal_return,terminal_return,62.800000000000004,20.0,235.73697499999983,75.07546974522288,237.31617499999982,75.57839968152861,canonical_solver_result,1366,0c9b7317-11ce-4340-ad98-a702eaacaaa4
314.0,0.95,0c9b7317-11ce-4340-ad98-a702eaacaaa4:charging:95:137,charging,62.800000000000004,20.0,235.7370699999998,75.07549999999993,235.73697499999983,75.07546974522288,executed_charging_schedule,1440,0c9b7317-11ce-4340-ad98-a702eaacaaa4
314.0,0.95,1804ab20-a2a0-475c-b4d0-71d8a72c192f:initial_state,initial_state,62.800000000000004,20.0,139.502036,44.427400000000006,139.502036,44.427400000000006,scenario_fleet_contract,0,1804ab20-a2a0-475c-b4d0-71d8a72c192f
314.0,0.95,1804ab20-a2a0-475c-b4d0-71d8a72c192f:charging:0:1,charging,62.800000000000004,20.0,139.50205975,44.42740756369427,139.502036,44.427400000000006,executed_charging_schedule,15,1804ab20-a2a0-475c-b4d0-71d8a72c192f
314.0,0.95,1804ab20-a2a0-475c-b4d0-71d8a72c192f:charging:1:5,charging,62.800000000000004,20.0,143.56276462,45.72062567515923,139.50205975,44.42740756369427,executed_charging_schedule,30,1804ab20-a2a0-475c-b4d0-71d8a72c192f
