metric,discrete_median,discrete_q1,discrete_q3,discrete_minimum,discrete_maximum,aggregate_median,aggregate_q1,aggregate_q3,aggregate_minimum,aggregate_maximum,median_change
total_variables,825858.0,825858.0,825858.0,825858.0,825858.0,583125.0,583125.0,583125.0,583125.0,583125.0,-242733.0
binary_variables,726240.0,726240.0,726240.0,726240.0,726240.0,493756.0,493756.0,493756.0,493756.0,493756.0,-232484.0
constraints,151574.0,151574.0,151574.0,151574.0,151574.0,125547.0,125547.0,125547.0,125547.0,125547.0,-26027.0
nonzero_coefficients,16316201.0,16316201.0,16316201.0,16316201.0,16316201.0,15753121.0,15753121.0,15753121.0,15753121.0,15753121.0,-563080.0
complete_model_build_time_sec,67.03862080001272,66.91826329997275,67.09467180003412,66.84374719997868,70.32723970001098,66.12070460000541,65.89962290000403,66.1585286000045,65.6515561999986,66.25682509999024,-0.917916200007312
presolve_time_sec,27.04699993133545,26.96399998664856,27.174000024795532,26.878000020980835,27.18500018119812,25.76900005340576,25.756999969482422,26.00100016593933,25.48800015449524,26.2810001373291,-1.2779998779296875
total_solver_time_sec,31.88700008392334,31.871999979019165,31.95300006866455,31.759999990463257,32.08400011062622,435.103000164032,435.10199999809265,435.10400009155273,435.10199999809265,435.1089999675751,403.21600008010864
runner_wall_time_sec,217.22023360000458,216.6425550999702,218.93911919998936,215.76155200001085,220.02531419997104,619.5261373000103,619.2700394999702,620.022237600002,618.3683838000288,621.4356758999638,402.30590370000573
incumbent_objective_jpy,707349.1733696415,707349.1733696415,707349.1733696415,707349.1733696415,707349.1733696415,707349.1733696413,707349.1733696413,707349.1733696413,707349.1733696413,707349.1733696413,-2.3283064365386963e-10
certified_best_bound_jpy,695632.9381236411,695632.9381236411,695632.9381236411,695632.9381236411,695632.9381236411,695632.9381236411,695632.9381236411,695632.9381236411,695632.9381236411,695632.9381236411,0.0
certified_gap_ratio,0.01656358088352197,0.01656358088352197,0.01656358088352197,0.01656358088352197,0.01656358088352197,0.016563580883521646,0.016563580883521646,0.016563580883521646,0.016563580883521646,0.016563580883521646,-3.226585665316861e-16
explored_nodes,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
peak_memory_bytes,3669606400.0,3666649088.0,3714772992.0,3661660160.0,3716562944.0,3313692672.0,3267956736.0,3318636544.0,3201830912.0,3321139200.0,-355913728.0
